episode,timestep,reward
27,2000,-64.7778
54,4000,-72.7407
82,6000,-69.6786
109,8000,-67.7407
136,10000,-57.9259
164,12000,-63.6071
191,14000,-63.2963
219,16000,-61.4643
246,18000,-50.5185
273,20000,-42.3704
301,22000,-38.9643
328,24000,-34.2222
356,26000,-29.8571
383,28000,-23.4815
410,30000,-8.2963
438,32000,-18.4286
465,34000,23.7407
493,36000,26.5714
521,38000,37.9643
548,40000,16.8519
575,42000,80.963
603,44000,54.6071
629,46000,111.9615
656,48000,110.5926
683,50000,103.3333
709,52000,143.8846
734,54000,209.32
759,56000,182.32
776,58000,671.2353
798,60000,309.0455
812,62000,813.8571
828,64000,463.8125
837,66000,3154.2222
847,68000,2131.6
869,70000,422.6364
897,72000,-68.9643
922,74000,-7.0
944,76000,54.5455
967,78000,213.2609
984,80000,372.0
1008,82000,654.8333
1033,84000,30.96
1053,86000,205.5
1071,88000,241.9444
1091,90000,471.15
1113,92000,145.0
1132,94000,295.6842
1155,96000,176.2174
1176,98000,376.0476
1195,100000,246.5263
1210,102000,334.8
1227,104000,850.7647
1246,106000,270.6842
1260,108000,628.9286
1271,110000,1907.9091
1282,112000,1839.4545
1299,114000,248.4706
1312,116000,1416.2308
1319,118000,1684.4286
1326,120000,7459.0
1331,122000,7288.8
1341,124000,2153.7
1350,126000,3293.6667
1356,128000,3827.0
1364,130000,4089.625
1371,132000,4684.8571
1376,134000,6596.4
1380,136000,5174.75
1388,138000,3898.625
1395,140000,6187.1429
1398,142000,11894.3333
1402,144000,8879.25
1410,146000,5860.0
1419,148000,1352.7778
1422,150000,14007.6667
1426,152000,9205.75
1429,154000,10611.6667
1437,156000,5228.125
1441,158000,10540.5
1445,160000,6442.25
1449,162000,13237.5
1452,164000,12142.0
1454,166000,20770.0
1457,168000,11990.0
1459,170000,20667.5
1463,172000,4534.25
1467,174000,11811.0
1470,176000,13580.3333
1474,178000,10471.0
1477,180000,13876.0
1481,182000,8055.75
1483,184000,18213.5
1485,186000,17278.0
1489,188000,10412.75
1492,190000,13991.0
1495,192000,10535.3333
1500,194000,9436.2
1503,196000,8945.0
1505,198000,20605.0
1508,200000,17553.6667
1511,202000,13104.0
1516,204000,6887.4
1518,206000,20655.0
1521,208000,10221.6667
1523,210000,17984.5
1529,212000,7780.5
1531,214000,15840.5
1534,216000,14074.6667
1538,218000,11668.5
1542,220000,9311.75
1545,222000,10778.6667
1550,224000,6553.4
1553,226000,7582.0
1557,228000,10300.25
1565,230000,4586.125
1576,232000,2814.3636
1578,234000,20677.5
1583,236000,5308.6
1600,238000,1051.3529
1609,240000,2603.0
1615,242000,2524.8333
1622,244000,7851.2857
1630,246000,922.125
1638,248000,4751.5
1648,250000,3589.7
1654,252000,5358.8333
1658,254000,6587.25
1663,256000,7290.2
1669,258000,5678.5
1674,260000,5614.2
1676,262000,15561.0
1679,264000,13642.6667
1688,266000,3568.0
1690,268000,20357.0
1693,270000,13761.6667
1697,272000,10290.25
1701,274000,6544.75
1709,276000,5865.75
1713,278000,7970.25
1717,280000,5199.75
1720,282000,18871.6667
1722,284000,20647.5
1726,286000,4991.0
1729,288000,12942.3333
1733,290000,13989.0
1738,292000,6232.0
1745,294000,3978.4286
1748,296000,11860.3333
1750,298000,15245.0
1753,300000,12416.6667
1757,302000,11839.0
1761,304000,9270.0
1763,306000,17998.5
1765,308000,20602.5
1767,310000,15642.5
1770,312000,18818.6667
1772,314000,10349.5
1775,316000,18391.3333
1777,318000,17938.0
1779,320000,20365.0
1782,322000,15385.3333
1784,324000,15646.0
1787,326000,15567.3333
1789,328000,15309.5
1791,330000,20775.0
1797,332000,9224.0
1803,334000,4632.0
1805,336000,20219.5
1808,338000,10620.6667
1810,340000,20590.0
1813,342000,15225.3333
1816,344000,15360.6667
1820,346000,8141.75
1826,348000,4571.6667
1829,350000,10629.0
1831,352000,15506.0
1838,354000,6535.7143
1841,356000,8473.0
1843,358000,20206.5
1847,360000,14142.25
1850,362000,13469.0
1852,364000,10634.5
1856,366000,11870.75
1861,368000,4510.2
1864,370000,17074.6667
1866,372000,20557.5
1869,374000,12220.0
1871,376000,20492.5
1875,378000,9862.0
1877,380000,14765.0
1880,382000,15328.6667
1884,384000,8086.75
1887,386000,8788.0
1894,388000,7125.2857
1898,390000,5165.75
1901,392000,17193.6667
1905,394000,7699.75
1907,396000,16044.5
1912,398000,9891.2
1916,400000,10672.75
1918,402000,15515.5
1922,404000,11238.5
1925,406000,11931.0
1928,408000,11903.3333
1930,410000,20525.0
1937,412000,5785.1429
1940,414000,8603.0
1943,416000,14929.3333
1949,418000,6879.1667
1952,420000,11668.0
1957,422000,8073.0
1961,424000,8732.5
1965,426000,8662.0
1970,428000,7221.6
1977,430000,4426.8571
1981,432000,5171.0
1986,434000,8427.8
1989,436000,13484.3333
1992,438000,14389.3333
1994,440000,12753.5
2004,442000,3220.6
2009,444000,6320.0
2015,446000,4575.1667
2022,448000,2150.1429
2028,450000,7563.8333
2030,452000,13090.5
2038,454000,3389.625
2043,456000,5303.2
2048,458000,9217.2
2050,460000,20427.5
2053,462000,14947.3333
2060,464000,1414.7143
2064,466000,11945.0
2068,468000,10031.25
2070,470000,17895.5
2073,472000,13909.0
2078,474000,7168.8
2080,476000,20417.5
2082,478000,20712.5
2084,480000,20570.0
2088,482000,7614.75
2090,484000,20510.0
2092,486000,20572.5
2097,488000,5485.6
2102,490000,8613.4
2105,492000,13232.6667
2109,494000,7899.0
2113,496000,8911.75
2116,498000,13917.6667
2119,500000,12286.6667
2124,502000,6206.8
2128,504000,6435.0
2132,506000,13762.5
2135,508000,7706.6667
2140,510000,8185.6
2146,512000,8236.6667
2150,514000,6477.0
2156,516000,5552.1667
2158,518000,15184.5
2163,520000,9213.4
2170,522000,5177.7143
2177,524000,3593.7143
2181,526000,5608.5
2189,528000,4607.25
2195,530000,3443.6667
2200,532000,8469.8
2203,534000,9232.0
2210,536000,4394.7143
2215,538000,8209.2
2224,540000,3460.3333
2226,542000,10546.5
